State,Incident Date,# Killed,Age
Michigan,"October 26, 2019",1,Adult
New York,"October 26, 2019",1,Adult
Arkansas,"October 25, 2019",1,Adult
Arkansas,"October 23, 2019",1,Adult
Indiana,"October 23, 2019",1,Adult
Utah,"October 23, 2019",1,Adult
Texas,"October 21, 2019",1,Adult
Virginia,"October 20, 2019",1,Adult
Wisconsin,"October 20, 2019",1,Adult
Texas,"October 20, 2019",1,Adult
Michigan,"October 20, 2019",1,Adult
Texas,"October 20, 2019",1,Adult
Missouri,"October 19, 2019",1,Adult
Ohio,"October 19, 2019",1,Adult
Indiana,"October 17, 2019",1,Adult
Louisiana,"October 14, 2019",1,Adult
Tennessee,"October 13, 2019",1,Adult
Oregon,"October 12, 2019",1,Adult
Tennessee,"October 10, 2019",1,Adult
Texas,"October 8, 2019",1,Adult
Maine,"October 8, 2019",1,Adult
Montana,"October 8, 2019",1,Adult
New Jersey,"October 6, 2019",1,Adult
California,"October 6, 2019",1,Adult
Wisconsin,"October 6, 2019",1,Adult
Alabama,"October 5, 2019",1,Adult
South Carolina,"October 5, 2019",1,Adult
Indiana,"October 4, 2019",1,Adult
Georgia,"October 3, 2019",1,Adult
Georgia,"October 2, 2019",1,Adult
Florida,"October 2, 2019",1,Adult
New York,"October 1, 2019",1,Adult
North Carolina,"September 30, 2019",1,Adult
Rhode Island,"September 29, 2019",1,Adult
Texas,"September 28, 2019",1,Adult
Georgia,"September 28, 2019",1,Adult
Pennsylvania,"September 28, 2019",1,Adult
Ohio,"September 27, 2019",1,Adult
North Carolina,"September 26, 2019",1,Adult
Texas,"September 25, 2019",1,Adult
Missouri,"September 24, 2019",1,Adult
Kentucky,"September 22, 2019",1,Adult
Illinois,"September 22, 2019",1,Adult
New York,"September 21, 2019",1,Adult
Louisiana,"September 20, 2019",1,Adult
Wisconsin,"September 19, 2019",1,Adult
Wisconsin,"September 17, 2019",1,Adult
Texas,"September 15, 2019",1,Adult
Texas,"September 15, 2019",1,Adult
Michigan,"September 15, 2019",1,Adult
Kentucky,"September 14, 2019",1,Adult
Missouri,"September 12, 2019",1,Adult
Florida,"September 12, 2019",1,Adult
Pennsylvania,"September 10, 2019",1,Adult
Iowa,"September 10, 2019",1,Adult
Massachusetts,"September 9, 2019",1,Adult
Michigan,"September 8, 2019",1,Adult
Pennsylvania,"September 8, 2019",1,Adult
Washington,"September 7, 2019",1,Adult
Washington,"September 6, 2019",1,Adult
Connecticut,"September 4, 2019",1,Adult
